,from_user,to_user,amount,request_date
0,chad.chen,paula7980,78.61,2018-02-12
1,kallen,lmoore,1.94,2018-02-23
2,gregory.blackwell,rodriguez5768,30.57,2018-03-04
3,kristina.miller,john.hardy,77.05,2018-03-12
4,lacey8987,mcguire,54.09,2018-03-13
5,paul6364,glen9827,4.04,2018-03-13
6,glen9827,lmoore,25.94,2018-03-14
7,diana,payne,89.7,2018-03-18
8,cjimenez,sarah.evans,48.14,2018-03-21
9,kpratt,margaret265,66.84,2018-03-29
10,paula7980,mackenzie,56.0,2018-03-29
11,kpratt,jason7792,4.21,2018-04-01
12,stephanie5596,kristina.miller,35.94,2018-04-08
13,sarah.evans,david,52.91,2018-04-10
14,scott3928,gerald.bryant,43.36,2018-04-15
15,paula7980,mackenzie,56.0,2018-04-15
16,dale,melissa.mendoza,48.15,2018-04-15
17,stephanie4610,ruiz2577,59.97,2018-04-16
18,alexander7808,campbell4312,73.12,2018-04-19
19,gerald.bryant,gregory7148,85.26,2018-04-19
20,singh2309,michelle4225,3.55,2018-04-20
21,kimberly,sabrina.haas,45.41,2018-04-23
22,bowman,lucero5925,44.88,2018-04-23
23,francis.hernandez,staylor,95.93,2018-04-24
24,paul9642,walsh,69.37,2018-04-26
25,jennifer.walker,freeman,74.32,2018-04-27
26,cjimenez,sarah.evans,48.14,2018-04-27
27,dustin.fowler,brandon.gilbert,46.85,2018-04-29
28,shari,stephanie5596,49.77,2018-04-30
29,bpowers,taylor1468,87.74,2018-05-01
30,stephanie4610,brown,97.68,2018-05-02
31,bpowers,spadilla,47.2,2018-05-03
32,hoover4302,dennis,87.77,2018-05-04
33,hoover4302,dennis,87.77,2018-05-05
34,wright3590,bgreen,0.99,2018-05-05
35,rachel.ellison,carl.fox,71.88,2018-05-06
36,lcruz,steven3847,20.09,2018-05-07
37,andrew6216,sthompson,66.96,2018-05-07
38,smith,linda,23.4,2018-05-07
39,sthompson,andrade,14.07,2018-05-09
40,jason7792,hamilton4258,56.06,2018-05-12
41,thompson9387,samuel1489,46.12,2018-05-12
42,chorne,paul6364,10.1,2018-05-12
43,ariley,gerald.bryant,66.73,2018-05-13
44,matthew7940,sherry6113,58.72,2018-05-13
45,burton6737,jennifer,94.95,2018-05-15
46,johnson3004,lawson,49.46,2018-05-15
47,bishop,massey2102,18.27,2018-05-16
48,smith9087,flores,24.17,2018-05-19
49,gstevens,megan.terry,51.06,2018-05-20
50,spence,fuller3354,1.54,2018-05-20
51,jennifer,dawn.juarez,68.04,2018-05-22
52,rodriguez,robinson,8.91,2018-05-24
53,stanley7729,bgreen,82.05,2018-05-24
54,karen.snow,west,80.83,2018-05-25
55,hart24,edward1527,4.21,2018-05-25
56,lacey8987,hayes2585,9.93,2018-05-27
57,bowman,william2231,86.1,2018-05-28
58,austin486,shelly,11.24,2018-05-29
59,austin486,shelly,11.24,2018-05-29
60,kirk,jason,36.53,2018-05-30
61,hayes2585,sbennett,85.27,2018-05-30
62,christine.brown,msolis,84.25,2018-05-31
63,marcus.berry,melissa.mendoza,71.48,2018-05-31
64,mark8466,henry4707,74.7,2018-06-01
65,smoyer,epeters,30.6,2018-06-02
66,dawn,jones5796,9.78,2018-06-02
