,sender,receiver,amount,sent_date
0,stein,smoyer,49.03,2018-01-24
1,holden4580,joshua.henry,34.64,2018-02-06
2,rose.eaton,emily.lewis,62.67,2018-02-15
3,lmoore,kallen,1.94,2018-03-05
4,scott3928,lmoore,27.82,2018-03-10
5,francis.hernandez,lmoore,91.46,2018-03-14
6,leah6255,campbell4312,15.88,2018-03-16
7,rodriguez5768,gregory.blackwell,30.57,2018-03-17
8,david5498,greg5920,3.22,2018-03-22
9,campbell4312,wright3590,90.14,2018-03-25
10,robinson,hall,76.84,2018-04-04
11,lmoore,glen9827,25.94,2018-04-04
12,daniel.williams,lmoore,79.59,2018-04-04
13,west,payne,89.45,2018-04-05
14,palmer,chad.chen,36.27,2018-04-07
15,mark,roger,52.41,2018-04-09
16,hamilton4258,linda,11.13,2018-04-09
17,kristina.miller,stephanie5596,35.94,2018-04-09
18,payne,diana,89.7,2018-04-10
19,kara,smoyer,1.24,2018-04-10
20,david,sarah.evans,52.91,2018-04-11
21,katrina.ingram,hamilton4258,32.82,2018-04-11
22,greg5920,andrew6216,32.42,2018-04-16
23,edwards8658,samuel1489,23.41,2018-04-17
24,tgeorge,jones5796,4.08,2018-04-19
25,paul6364,jennifer.hendrix,68.35,2018-04-20
26,debbie4918,alan9443,23.89,2018-04-20
27,samuel.conner,steven3847,74.76,2018-04-21
28,elang,donna1922,26.07,2018-04-23
29,taylor1468,colton,97.34,2018-04-23
30,ruiz2577,stephanie4610,59.97,2018-04-24
31,brian7426,john.hardy,15.92,2018-04-24
32,matthew5486,gibson9198,22.0,2018-04-24
33,john.hardy,kristina.miller,77.05,2018-04-25
34,payne,griffin4992,85.21,2018-04-26
35,campbell1062,payne,92.76,2018-04-26
36,joseph2431,corey,23.93,2018-04-28
37,mburke,stephanie5596,63.35,2018-04-29
38,mark5306,william6714,71.0,2018-04-30
39,austin,fuller3354,69.74,2018-05-01
40,steven3847,smith9087,45.26,2018-05-01
41,samuel1489,holden4580,54.92,2018-05-01
42,lcruz,johnson3004,16.91,2018-05-02
43,stein,sabrina.haas,32.81,2018-05-03
44,spadilla,bpowers,47.2,2018-05-03
45,gerald.bryant,scott3928,43.36,2018-05-03
46,stephanie5596,shari,49.77,2018-05-04
47,dennis,hoover4302,87.77,2018-05-05
48,staylor,francis.hernandez,95.93,2018-05-05
49,joseph2431,dale,81.16,2018-05-06
50,grace7647,sandra2071,79.94,2018-05-07
51,roger,william4588,43.69,2018-05-07
52,samuel1489,edwards,62.8,2018-05-08
53,lcruz,colton,23.71,2018-05-09
54,brown,stephanie4610,97.68,2018-05-10
55,sandra2565,rachel,94.08,2018-05-10
56,campbell4312,alexander7808,73.12,2018-05-11
57,mackenzie,jason,59.6,2018-05-11
58,sarah.evans,cjimenez,48.14,2018-05-12
59,porter,gail7896,75.16,2018-05-14
60,joshua9690,william4588,97.33,2018-05-14
61,thompson9387,karen.snow,72.41,2018-05-15
62,edwards,samuel.conner,1.49,2018-05-15
63,freeman,jennifer.walker,74.32,2018-05-15
64,wright3590,jennifer.walker,90.12,2018-05-16
65,danielle,holden4580,22.27,2018-05-16
66,edwards8658,henry4707,20.85,2018-05-17
67,joshua9690,edwards,97.83,2018-05-18
68,ruiz2577,emily.anderson,41.3,2018-05-18
69,brown,lisa8780,50.38,2018-05-20
70,emily.lewis,kevin,5.49,2018-05-21
71,massey2102,kara,20.26,2018-05-21
72,edwards8658,karen.snow,12.28,2018-05-22
73,gerald.bryant,chad.chen,5.45,2018-05-23
74,freeman,ruiz2577,13.19,2018-05-23
75,porter,helen5691,35.94,2018-05-24
76,arosario,dennis4593,35.12,2018-05-24
77,jeremy1104,staylor,43.26,2018-05-25
78,tgeorge,roman7509,13.15,2018-05-25
79,sabrina.haas,kimberly,45.41,2018-05-25
80,grant1643,gail7896,11.75,2018-05-26
81,megan.terry,gstevens,51.06,2018-05-26
82,sstanton,john.hardy,90.29,2018-05-27
83,fernandez,dustin.fowler,83.43,2018-05-28
84,jackson4431,kenneth.chambers,96.32,2018-05-28
85,watts,henry,76.29,2018-05-28
86,paula7980,jcordova,42.98,2018-05-28
87,freeman,roger,24.27,2018-05-28
88,shelly,austin486,11.24,2018-05-29
89,lucero5925,bowman,44.88,2018-05-29
90,brandon.gilbert,dustin.fowler,46.85,2018-05-29
91,lacey8987,wilson,39.38,2018-05-30
92,danielle,burton6737,95.38,2018-05-30
93,flores,edwards,10.62,2018-05-30
94,rachel,emily.anderson,99.09,2018-05-30
95,edwards8658,twebster,85.09,2018-05-30
96,shelly,dean2365,23.24,2018-05-30
97,lowe,sabrina.haas,61.91,2018-05-30
98,lisa8780,jeremy1104,55.94,2018-05-30
99,rsnow,nicholas.travis,95.08,2018-05-31
100,joshua3747,lisa8780,3.53,2018-05-31
101,hmiller,diana,69.88,2018-06-01
102,tgeorge,bgreen,61.9,2018-06-01
103,gerald.bryant,ariley,66.73,2018-06-01
104,sabrina.haas,smith6248,53.8,2018-06-01
105,william2231,bowman,86.1,2018-06-02
106,brooke2027,sthompson,77.77,2018-06-03
107,awhitney,joel8826,21.59,2018-06-03
108,david,spence,64.64,2018-06-04
109,chorne,epeters,55.88,2018-06-04
110,henry4707,mark8466,74.7,2018-06-05
111,epeters,smoyer,30.6,2018-06-05
112,steven3847,lcruz,20.09,2018-06-05
113,carl.fox,sfinley,65.99,2018-06-05
114,jcoleman,joshua3747,91.3,2018-06-06
115,kelly7722,steven,41.55,2018-06-06
116,hoover4302,edward1527,61.04,2018-06-07
117,cynthia5799,erin4486,13.92,2018-06-08
118,staylor,chorne,80.26,2018-06-09
119,west,karen.snow,80.83,2018-06-10
120,sbennett,hayes2585,85.27,2018-06-11
121,sthompson,andrew6216,66.96,2018-06-11
122,blair4952,scott3928,63.66,2018-06-12
123,elizabeth,adrian,0.73,2018-06-12
124,andrew.wells,elaine,34.25,2018-06-13
125,fernandez,crane203,5.06,2018-06-13
126,jason7792,eric1415,95.28,2018-06-14
127,edward1527,hart24,4.21,2018-06-14
128,blankenship,sfinley,5.23,2018-06-15
129,calvin.perez,robinson5269,98.5,2018-06-15
130,jramsey,fuller3354,11.65,2018-06-15
131,glen9827,twebster,43.88,2018-06-15
132,eugene4448,mark1376,30.02,2018-06-15
133,dawn.juarez,jennifer,68.04,2018-06-17
134,flores,smith9087,24.17,2018-06-17
135,tstewart,eugene4448,6.39,2018-06-17
136,matthew5486,tgeorge,7.02,2018-06-18
137,sandra.vaughn,ruiz2577,37.16,2018-06-18
138,jeffrey,glen9827,70.03,2018-06-18
139,cassandra,porter,45.7,2018-06-18
140,grace7647,smith8419,93.82,2018-06-18
141,tamara,scott3928,20.96,2018-06-19
142,hoover4302,nancy,7.05,2018-06-19
143,danielle,lucero5925,71.63,2018-06-19
144,david,steven3847,39.86,2018-06-21
145,amiller,epeters,26.43,2018-06-21
146,thompson2327,tgeorge,53.74,2018-06-21
147,blankenship,hayes2585,44.16,2018-06-21
148,eugene4448,smith6248,0.15,2018-06-22
149,clark8139,kristen1581,38.31,2018-06-23
150,janet.williams,adrian.blair,89.55,2018-06-23
151,smith8419,jgonzalez,19.86,2018-06-23
152,grant1643,thompson9387,45.96,2018-06-23
153,brown,mark1376,13.64,2018-06-23
154,dawn,lee3744,83.22,2018-06-23
155,nichols,kevin,20.48,2018-06-24
156,luis.brooks,torres,58.76,2018-06-24
157,gail7896,francis.hernandez,49.02,2018-06-24
158,robinson,rodriguez,8.91,2018-06-25
159,rose.eaton,sward,84.78,2018-06-25
160,kristi7553,staylor,3.95,2018-06-25
161,jennifer,samuel1489,97.38,2018-06-25
162,nicholas.travis,john.smith,12.64,2018-06-25
163,crane203,steven,80.0,2018-06-25
164,mackenzie,paula7980,56.0,2018-06-25
165,tiffany.bowen,manning8686,7.98,2018-06-25
166,msolis,christine.brown,84.25,2018-06-26
167,mark5306,sthompson,4.97,2018-06-26
168,nancy,margaret265,84.15,2018-06-26
169,christopher6861,jcoleman,30.47,2018-06-27
170,david,michael,40.99,2018-06-27
171,mcguire,lacey8987,54.09,2018-06-28
172,hall,william.lee,84.16,2018-06-28
173,flores,corey,53.12,2018-06-29
174,janet.williams,william6714,65.54,2018-06-29
175,bgreen,wright3590,0.99,2018-06-29
176,rsnow,sandra.vaughn,82.94,2018-06-30
177,erin4486,nancy,85.73,2018-06-30
178,smith,melissa.mendoza,66.79,2018-06-30
179,kara,nichols,36.41,2018-06-30
180,lisa,tgeorge,31.95,2018-06-30
181,caleb,timothy.heath,85.58,2018-07-01
182,lisa8780,smith8419,88.68,2018-07-01
183,gail7896,katrina.ingram,21.66,2018-07-01
184,donna1922,sabrina.haas,21.29,2018-07-01
185,daniel,christopher6861,11.69,2018-07-02
186,gregory.rios,elizabeth,6.83,2018-07-02
187,kristen1581,blair4952,32.58,2018-07-02
188,adrian.blair,timothy.heath,83.73,2018-07-02
189,dawn,sfinley,32.0,2018-07-02
190,katherine,lee3744,60.06,2018-07-02
191,mackenzie,tgeorge,74.3,2018-07-03
192,shari,tstewart,97.64,2018-07-03
193,cox192,robinson5269,40.53,2018-07-03
194,sarah.evans,davis,81.9,2018-07-03
195,andrew.wells,steven3847,24.73,2018-07-03
